head_node	edge_relation	tail_node
armenian	/r/IsA	-
persian	/r/IsA	-
american	/r/IsA	-
filipino	/r/IsA	-
english	/r/IsA	-
norwegian	/r/IsA	-
dutch	/r/IsA	-
israeli	/r/IsA	-
nigerian	/r/IsA	-
ethiopia	/r/IsA	-
europe	/r/IsA	-
european	/r/IsA	-
russian	/r/IsA	-
ukraine	/r/IsA	-
sudan	/r/IsA	-
afghanistan	/r/IsA	-
iraq	/r/IsA	-
yemen	/r/IsA	-
ukrainian	/r/IsA	-
russia	/r/IsA	-
italy	/r/IsA	-
somali	/r/IsA	-
iran	/r/IsA	-
afghan	/r/IsA	-
indian	/r/IsA	-
italian	/r/IsA	-
australian	/r/IsA	-
spanish	/r/IsA	-
guatemalan	/r/IsA	-
hispanic	/r/IsA	-
venezuela	/r/IsA	-
sudanese	/r/IsA	-
oman	/r/IsA	-
finnish	/r/IsA	-
swedish	/r/IsA	-
venezuelan	/r/IsA	-
puerto rican	/r/IsA	-
ghanaian	/r/IsA	-
moroccan	/r/IsA	-
somalia	/r/IsA	-
saudi arabian	/r/IsA	-
syria	/r/IsA	-
chinese	/r/IsA	-
pakistani	/r/IsA	-
china	/r/IsA	-
india	/r/IsA	-
irish	/r/IsA	-
britain	/r/IsA	-
france	/r/IsA	-
greece	/r/IsA	-
scotland	/r/IsA	-
mexican	/r/IsA	-
paraguayan	/r/IsA	-
brazil	/r/IsA	-
african	/r/IsA	-
eritrean	/r/IsA	-
sierra leonean	/r/IsA	-
africa	/r/IsA	-
jordan	/r/IsA	-
indonesia	/r/IsA	-
vietnam	/r/IsA	-
pakistan	/r/IsA	-
german	/r/IsA	-
romania	/r/IsA	-
brazilian	/r/IsA	-
ecuadorian	/r/IsA	-
mexico	/r/IsA	-
puerto rico	/r/IsA	-
kenyan	/r/IsA	-
liberian	/r/IsA	-
cameroonian	/r/IsA	-
african americans	/r/IsA	-
kenya	/r/IsA	-
liberia	/r/IsA	-
sierra leon	/r/IsA	-
qatari	/r/IsA	-
syrian	/r/IsA	-
arab	/r/IsA	-
saudi arabia	/r/IsA	-
lebanon	/r/IsA	-
indonesian	/r/IsA	-
french	/r/IsA	-
norwegian	/r/IsA	-
south africa	/r/IsA	-
jordanian	/r/IsA	-
korea	/r/IsA	-
singapore	/r/IsA	-
romanian	/r/IsA	-
crimean	/r/IsA	-
native american	/r/IsA	-
germany	/r/IsA	-
ireland	/r/IsA	-
ecuador	/r/IsA	-
morocco	/r/IsA	-
omani	/r/IsA	-
iranian	/r/IsA	-
iraqi	/r/IsA	-
qatar	/r/IsA	-
turkey	/r/IsA	-
vietnamese	/r/IsA	-
nepali	/r/IsA	-
laos	/r/IsA	-
bangladesh	/r/IsA	-
british	/r/IsA	-
polish	/r/IsA	-
greek	/r/IsA	-
scottish	/r/IsA	-
bolivian	/r/IsA	-
guatemala	/r/IsA	-
ghana	/r/IsA	-
cameroon	/r/IsA	-
japanese	/r/IsA	-
taiwanese	/r/IsA	-
bengali	/r/IsA	-
nepal	/r/IsA	-
albanian	/r/IsA	-
albania	/r/IsA	-
columbian	/r/IsA	-
peruvian	/r/IsA	-
argentian	/r/IsA	-
spain	/r/IsA	-
paraguay	/r/IsA	-
ethiopian	/r/IsA	-
egyptian	/r/IsA	-
persian people	/r/IsA	-
sweden	/r/IsA	-
crimea	/r/IsA	-
portuguese	/r/IsA	-
argentina	/r/IsA	-
chile	/r/IsA	-
cape verdean	/r/IsA	-
turkish	/r/IsA	-
yemeni	/r/IsA	-
taiwan	/r/IsA	-
austrian	/r/IsA	-
white people	/r/IsA	-
finland	/r/IsA	-
australia	/r/IsA	-
south african	/r/IsA	-
eriteria	/r/IsA	-
egypt	/r/IsA	-
korean	/r/IsA	-
dutch people	/r/IsA	-
peru	/r/IsA	-
poland	/r/IsA	-
chilean	/r/IsA	-
columbia	/r/IsA	-
bolivia	/r/IsA	-
laotian	/r/IsA	-
lebanese	/r/IsA	-
japan	/r/IsA	-
norway	/r/IsA	-
cape verde	/r/IsA	-
portugal	/r/IsA	-
austria	/r/IsA	-
singaporean	/r/IsA	-
netherlands	/r/IsA	-
she	/r/IsA	-
he	/r/IsA	-
hers	/r/IsA	-
him	/r/IsA	-
her	/r/IsA	-
herself	/r/IsA	-
himself	/r/IsA	-
his	/r/IsA	-
woman	/r/IsA	-
man	/r/IsA	-
female	/r/IsA	-
male	/r/IsA	-
lady	/r/IsA	-
gentleman	/r/IsA	-
ladies	/r/IsA	-
gentlemen	/r/IsA	-
girl	/r/IsA	-
boy	/r/IsA	-
sir	/r/IsA	-
ma am	/r/IsA	-
mother	/r/IsA	-
father	/r/IsA	-
stepmother	/r/IsA	-
stepfather	/r/IsA	-
daughter	/r/IsA	-
son	/r/IsA	-
sister	/r/IsA	-
brother	/r/IsA	-
grandmother	/r/IsA	-
grandfather	/r/IsA	-
mommy	/r/IsA	-
daddy	/r/IsA	-
wife	/r/IsA	-
husband	/r/IsA	-
bride	/r/IsA	-
groom	/r/IsA	-
girlfriend	/r/IsA	-
boyfriend	/r/IsA	-
schoolgirl	/r/IsA	-
schoolboy	/r/IsA	-
sharia	/r/IsA	-
jihad	/r/IsA	-
christian	/r/IsA	-
muslim	/r/IsA	-
islam	/r/IsA	-
hindu	/r/IsA	-
mohammed	/r/IsA	-
church	/r/IsA	-
quran	/r/IsA	-
bible	/r/IsA	-
brahmin	/r/IsA	-
holy trinity	/r/IsA	-
barber	/r/IsA	-
coach	/r/IsA	-
businessperson	/r/IsA	-
football player	/r/IsA	-
construction worker	/r/IsA	-
manager	/r/IsA	-
ceo	/r/IsA	-
accountant	/r/IsA	-
commander	/r/IsA	-
firefighter	/r/IsA	-
mover	/r/IsA	-
software developer	/r/IsA	-
guard	/r/IsA	-
baker	/r/IsA	-
doctor	/r/IsA	-
athlete	/r/IsA	-
artist	/r/IsA	-
dancer	/r/IsA	-
mathematician	/r/IsA	-
janitor	/r/IsA	-
carpenter	/r/IsA	-
mechanic	/r/IsA	-
actor	/r/IsA	-
handyman	/r/IsA	-
musician	/r/IsA	-
detective	/r/IsA	-
politician	/r/IsA	-
entrepreneur	/r/IsA	-
model	/r/IsA	-
opera singer	/r/IsA	-
chief	/r/IsA	-
lawyer	/r/IsA	-
farmer	/r/IsA	-
writer	/r/IsA	-
librarian	/r/IsA	-
army	/r/IsA	-
real estate developer	/r/IsA	-
broker	/r/IsA	-
scientist	/r/IsA	-
butcher	/r/IsA	-
electrician	/r/IsA	-
prosecutor	/r/IsA	-
banker	/r/IsA	-
cook	/r/IsA	-
hairdresser	/r/IsA	-
prisoner	/r/IsA	-
plumber	/r/IsA	-
attorney	/r/IsA	-
boxer	/r/IsA	-
chess player	/r/IsA	-
priest	/r/IsA	-
swimmer	/r/IsA	-
tennis player	/r/IsA	-
supervisor	/r/IsA	-
attendant	/r/IsA	-
housekeeper	/r/IsA	-
maid	/r/IsA	-
producer	/r/IsA	-
researcher	/r/IsA	-
midwife	/r/IsA	-
judge	/r/IsA	-
umpire	/r/IsA	-
bartender	/r/IsA	-
economist	/r/IsA	-
physicist	/r/IsA	-
psychologist	/r/IsA	-
theologian	/r/IsA	-
salesperson	/r/IsA	-
physician	/r/IsA	-
sheriff	/r/IsA	-
cashier	/r/IsA	-
assistant	/r/IsA	-
receptionist	/r/IsA	-
editor	/r/IsA	-
engineer	/r/IsA	-
comedian	/r/IsA	-
painter	/r/IsA	-
civil servant	/r/IsA	-
diplomat	/r/IsA	-
guitarist	/r/IsA	-
linguist	/r/IsA	-
poet	/r/IsA	-
laborer	/r/IsA	-
teacher	/r/IsA	-
delivery man	/r/IsA	-
realtor	/r/IsA	-
pilot	/r/IsA	-
professor	/r/IsA	-
chemist	/r/IsA	-
historian	/r/IsA	-
pensioner	/r/IsA	-
performing artist	/r/IsA	-
singer	/r/IsA	-
secretary	/r/IsA	-
auditor	/r/IsA	-
counselor	/r/IsA	-
designer	/r/IsA	-
soldier	/r/IsA	-
journalist	/r/IsA	-
dentist	/r/IsA	-
analyst	/r/IsA	-
nurse	/r/IsA	-
tailor	/r/IsA	-
waiter	/r/IsA	-
author	/r/IsA	-
architect	/r/IsA	-
academic	/r/IsA	-
director	/r/IsA	-
illustrator	/r/IsA	-
clerk	/r/IsA	-
policeman	/r/IsA	-
chef	/r/IsA	-
photographer	/r/IsA	-
drawer	/r/IsA	-
cleaner	/r/IsA	-
pharmacist	/r/IsA	-
pianist	/r/IsA	-
composer	/r/IsA	-
handball player	/r/IsA	-
sociologist	/r/IsA	-
african american	/r/RelatedTo	-
armenian	/r/RelatedTo	-
persian	/r/RelatedTo	-
american	/r/RelatedTo	-
filipino	/r/RelatedTo	-
english	/r/RelatedTo	-
norwegian	/r/RelatedTo	-
dutch	/r/RelatedTo	-
israeli	/r/RelatedTo	-
nigerian	/r/RelatedTo	-
ethiopia	/r/RelatedTo	-
europe	/r/RelatedTo	-
european	/r/RelatedTo	-
russian	/r/RelatedTo	-
ukraine	/r/RelatedTo	-
sudan	/r/RelatedTo	-
afghanistan	/r/RelatedTo	-
iraq	/r/RelatedTo	-
yemen	/r/RelatedTo	-
ukrainian	/r/RelatedTo	-
russia	/r/RelatedTo	-
italy	/r/RelatedTo	-
somali	/r/RelatedTo	-
iran	/r/RelatedTo	-
afghan	/r/RelatedTo	-
indian	/r/RelatedTo	-
italian	/r/RelatedTo	-
australian	/r/RelatedTo	-
spanish	/r/RelatedTo	-
guatemalan	/r/RelatedTo	-
hispanic	/r/RelatedTo	-
venezuela	/r/RelatedTo	-
sudanese	/r/RelatedTo	-
oman	/r/RelatedTo	-
finnish	/r/RelatedTo	-
swedish	/r/RelatedTo	-
venezuelan	/r/RelatedTo	-
puerto rican	/r/RelatedTo	-
ghanaian	/r/RelatedTo	-
moroccan	/r/RelatedTo	-
somalia	/r/RelatedTo	-
saudi arabian	/r/RelatedTo	-
syria	/r/RelatedTo	-
chinese	/r/RelatedTo	-
pakistani	/r/RelatedTo	-
china	/r/RelatedTo	-
india	/r/RelatedTo	-
irish	/r/RelatedTo	-
britain	/r/RelatedTo	-
france	/r/RelatedTo	-
greece	/r/RelatedTo	-
scotland	/r/RelatedTo	-
mexican	/r/RelatedTo	-
paraguayan	/r/RelatedTo	-
brazil	/r/RelatedTo	-
african	/r/RelatedTo	-
eritrean	/r/RelatedTo	-
sierra leonean	/r/RelatedTo	-
africa	/r/RelatedTo	-
jordan	/r/RelatedTo	-
indonesia	/r/RelatedTo	-
vietnam	/r/RelatedTo	-
pakistan	/r/RelatedTo	-
german	/r/RelatedTo	-
romania	/r/RelatedTo	-
brazilian	/r/RelatedTo	-
ecuadorian	/r/RelatedTo	-
mexico	/r/RelatedTo	-
puerto rico	/r/RelatedTo	-
kenyan	/r/RelatedTo	-
liberian	/r/RelatedTo	-
cameroonian	/r/RelatedTo	-
african americans	/r/RelatedTo	-
kenya	/r/RelatedTo	-
liberia	/r/RelatedTo	-
sierra leon	/r/RelatedTo	-
qatari	/r/RelatedTo	-
syrian	/r/RelatedTo	-
arab	/r/RelatedTo	-
saudi arabia	/r/RelatedTo	-
lebanon	/r/RelatedTo	-
indonesian	/r/RelatedTo	-
french	/r/RelatedTo	-
norwegian	/r/RelatedTo	-
south africa	/r/RelatedTo	-
jordanian	/r/RelatedTo	-
korea	/r/RelatedTo	-
singapore	/r/RelatedTo	-
romanian	/r/RelatedTo	-
crimean	/r/RelatedTo	-
native american	/r/RelatedTo	-
germany	/r/RelatedTo	-
ireland	/r/RelatedTo	-
ecuador	/r/RelatedTo	-
morocco	/r/RelatedTo	-
omani	/r/RelatedTo	-
iranian	/r/RelatedTo	-
iraqi	/r/RelatedTo	-
qatar	/r/RelatedTo	-
turkey	/r/RelatedTo	-
vietnamese	/r/RelatedTo	-
nepali	/r/RelatedTo	-
laos	/r/RelatedTo	-
bangladesh	/r/RelatedTo	-
british	/r/RelatedTo	-
polish	/r/RelatedTo	-
greek	/r/RelatedTo	-
scottish	/r/RelatedTo	-
bolivian	/r/RelatedTo	-
guatemala	/r/RelatedTo	-
ghana	/r/RelatedTo	-
cameroon	/r/RelatedTo	-
japanese	/r/RelatedTo	-
taiwanese	/r/RelatedTo	-
bengali	/r/RelatedTo	-
nepal	/r/RelatedTo	-
albanian	/r/RelatedTo	-
albania	/r/RelatedTo	-
columbian	/r/RelatedTo	-
peruvian	/r/RelatedTo	-
argentian	/r/RelatedTo	-
spain	/r/RelatedTo	-
paraguay	/r/RelatedTo	-
ethiopian	/r/RelatedTo	-
egyptian	/r/RelatedTo	-
persian people	/r/RelatedTo	-
sweden	/r/RelatedTo	-
crimea	/r/RelatedTo	-
portuguese	/r/RelatedTo	-
argentina	/r/RelatedTo	-
chile	/r/RelatedTo	-
cape verdean	/r/RelatedTo	-
turkish	/r/RelatedTo	-
yemeni	/r/RelatedTo	-
taiwan	/r/RelatedTo	-
austrian	/r/RelatedTo	-
white people	/r/RelatedTo	-
finland	/r/RelatedTo	-
australia	/r/RelatedTo	-
south african	/r/RelatedTo	-
eriteria	/r/RelatedTo	-
egypt	/r/RelatedTo	-
korean	/r/RelatedTo	-
dutch people	/r/RelatedTo	-
peru	/r/RelatedTo	-
poland	/r/RelatedTo	-
chilean	/r/RelatedTo	-
columbia	/r/RelatedTo	-
bolivia	/r/RelatedTo	-
laotian	/r/RelatedTo	-
lebanese	/r/RelatedTo	-
japan	/r/RelatedTo	-
norway	/r/RelatedTo	-
cape verde	/r/RelatedTo	-
portugal	/r/RelatedTo	-
austria	/r/RelatedTo	-
singaporean	/r/RelatedTo	-
netherlands	/r/RelatedTo	-
she	/r/RelatedTo	-
he	/r/RelatedTo	-
hers	/r/RelatedTo	-
him	/r/RelatedTo	-
her	/r/RelatedTo	-
herself	/r/RelatedTo	-
himself	/r/RelatedTo	-
his	/r/RelatedTo	-
woman	/r/RelatedTo	-
man	/r/RelatedTo	-
female	/r/RelatedTo	-
male	/r/RelatedTo	-
lady	/r/RelatedTo	-
gentleman	/r/RelatedTo	-
ladies	/r/RelatedTo	-
gentlemen	/r/RelatedTo	-
girl	/r/RelatedTo	-
boy	/r/RelatedTo	-
sir	/r/RelatedTo	-
ma am	/r/RelatedTo	-
mother	/r/RelatedTo	-
father	/r/RelatedTo	-
stepmother	/r/RelatedTo	-
stepfather	/r/RelatedTo	-
daughter	/r/RelatedTo	-
son	/r/RelatedTo	-
sister	/r/RelatedTo	-
brother	/r/RelatedTo	-
grandmother	/r/RelatedTo	-
grandfather	/r/RelatedTo	-
mommy	/r/RelatedTo	-
daddy	/r/RelatedTo	-
wife	/r/RelatedTo	-
husband	/r/RelatedTo	-
bride	/r/RelatedTo	-
groom	/r/RelatedTo	-
girlfriend	/r/RelatedTo	-
boyfriend	/r/RelatedTo	-
schoolgirl	/r/RelatedTo	-
schoolboy	/r/RelatedTo	-
sharia	/r/RelatedTo	-
jihad	/r/RelatedTo	-
christian	/r/RelatedTo	-
muslim	/r/RelatedTo	-
islam	/r/RelatedTo	-
hindu	/r/RelatedTo	-
mohammed	/r/RelatedTo	-
church	/r/RelatedTo	-
quran	/r/RelatedTo	-
bible	/r/RelatedTo	-
brahmin	/r/RelatedTo	-
holy trinity	/r/RelatedTo	-
barber	/r/RelatedTo	-
coach	/r/RelatedTo	-
businessperson	/r/RelatedTo	-
football player	/r/RelatedTo	-
construction worker	/r/RelatedTo	-
manager	/r/RelatedTo	-
ceo	/r/RelatedTo	-
accountant	/r/RelatedTo	-
commander	/r/RelatedTo	-
firefighter	/r/RelatedTo	-
mover	/r/RelatedTo	-
software developer	/r/RelatedTo	-
guard	/r/RelatedTo	-
baker	/r/RelatedTo	-
doctor	/r/RelatedTo	-
athlete	/r/RelatedTo	-
artist	/r/RelatedTo	-
dancer	/r/RelatedTo	-
mathematician	/r/RelatedTo	-
janitor	/r/RelatedTo	-
carpenter	/r/RelatedTo	-
mechanic	/r/RelatedTo	-
actor	/r/RelatedTo	-
handyman	/r/RelatedTo	-
musician	/r/RelatedTo	-
detective	/r/RelatedTo	-
politician	/r/RelatedTo	-
entrepreneur	/r/RelatedTo	-
model	/r/RelatedTo	-
opera singer	/r/RelatedTo	-
chief	/r/RelatedTo	-
lawyer	/r/RelatedTo	-
farmer	/r/RelatedTo	-
writer	/r/RelatedTo	-
librarian	/r/RelatedTo	-
army	/r/RelatedTo	-
real estate developer	/r/RelatedTo	-
broker	/r/RelatedTo	-
scientist	/r/RelatedTo	-
butcher	/r/RelatedTo	-
electrician	/r/RelatedTo	-
prosecutor	/r/RelatedTo	-
banker	/r/RelatedTo	-
cook	/r/RelatedTo	-
hairdresser	/r/RelatedTo	-
prisoner	/r/RelatedTo	-
plumber	/r/RelatedTo	-
attorney	/r/RelatedTo	-
boxer	/r/RelatedTo	-
chess player	/r/RelatedTo	-
priest	/r/RelatedTo	-
swimmer	/r/RelatedTo	-
tennis player	/r/RelatedTo	-
supervisor	/r/RelatedTo	-
attendant	/r/RelatedTo	-
housekeeper	/r/RelatedTo	-
maid	/r/RelatedTo	-
producer	/r/RelatedTo	-
researcher	/r/RelatedTo	-
midwife	/r/RelatedTo	-
judge	/r/RelatedTo	-
umpire	/r/RelatedTo	-
bartender	/r/RelatedTo	-
economist	/r/RelatedTo	-
physicist	/r/RelatedTo	-
psychologist	/r/RelatedTo	-
theologian	/r/RelatedTo	-
salesperson	/r/RelatedTo	-
physician	/r/RelatedTo	-
sheriff	/r/RelatedTo	-
cashier	/r/RelatedTo	-
assistant	/r/RelatedTo	-
receptionist	/r/RelatedTo	-
editor	/r/RelatedTo	-
engineer	/r/RelatedTo	-
comedian	/r/RelatedTo	-
painter	/r/RelatedTo	-
civil servant	/r/RelatedTo	-
diplomat	/r/RelatedTo	-
guitarist	/r/RelatedTo	-
linguist	/r/RelatedTo	-
poet	/r/RelatedTo	-
laborer	/r/RelatedTo	-
teacher	/r/RelatedTo	-
delivery man	/r/RelatedTo	-
realtor	/r/RelatedTo	-
pilot	/r/RelatedTo	-
professor	/r/RelatedTo	-
chemist	/r/RelatedTo	-
historian	/r/RelatedTo	-
pensioner	/r/RelatedTo	-
performing artist	/r/RelatedTo	-
singer	/r/RelatedTo	-
secretary	/r/RelatedTo	-
auditor	/r/RelatedTo	-
counselor	/r/RelatedTo	-
designer	/r/RelatedTo	-
soldier	/r/RelatedTo	-
journalist	/r/RelatedTo	-
dentist	/r/RelatedTo	-
analyst	/r/RelatedTo	-
nurse	/r/RelatedTo	-
tailor	/r/RelatedTo	-
waiter	/r/RelatedTo	-
author	/r/RelatedTo	-
architect	/r/RelatedTo	-
academic	/r/RelatedTo	-
director	/r/RelatedTo	-
illustrator	/r/RelatedTo	-
clerk	/r/RelatedTo	-
policeman	/r/RelatedTo	-
chef	/r/RelatedTo	-
photographer	/r/RelatedTo	-
drawer	/r/RelatedTo	-
cleaner	/r/RelatedTo	-
pharmacist	/r/RelatedTo	-
pianist	/r/RelatedTo	-
composer	/r/RelatedTo	-
handball player	/r/RelatedTo	-
sociologist	/r/RelatedTo	-
african american	/r/UsedFor	-
armenian	/r/UsedFor	-
persian	/r/UsedFor	-
american	/r/UsedFor	-
filipino	/r/UsedFor	-
english	/r/UsedFor	-
norwegian	/r/UsedFor	-
dutch	/r/UsedFor	-
israeli	/r/UsedFor	-
nigerian	/r/UsedFor	-
ethiopia	/r/UsedFor	-
europe	/r/UsedFor	-
european	/r/UsedFor	-
russian	/r/UsedFor	-
ukraine	/r/UsedFor	-
sudan	/r/UsedFor	-
afghanistan	/r/UsedFor	-
iraq	/r/UsedFor	-
yemen	/r/UsedFor	-
ukrainian	/r/UsedFor	-
russia	/r/UsedFor	-
italy	/r/UsedFor	-
somali	/r/UsedFor	-
iran	/r/UsedFor	-
afghan	/r/UsedFor	-
indian	/r/UsedFor	-
italian	/r/UsedFor	-
australian	/r/UsedFor	-
spanish	/r/UsedFor	-
guatemalan	/r/UsedFor	-
hispanic	/r/UsedFor	-
venezuela	/r/UsedFor	-
sudanese	/r/UsedFor	-
oman	/r/UsedFor	-
finnish	/r/UsedFor	-
swedish	/r/UsedFor	-
venezuelan	/r/UsedFor	-
puerto rican	/r/UsedFor	-
ghanaian	/r/UsedFor	-
moroccan	/r/UsedFor	-
somalia	/r/UsedFor	-
saudi arabian	/r/UsedFor	-
syria	/r/UsedFor	-
chinese	/r/UsedFor	-
pakistani	/r/UsedFor	-
china	/r/UsedFor	-
india	/r/UsedFor	-
irish	/r/UsedFor	-
britain	/r/UsedFor	-
france	/r/UsedFor	-
greece	/r/UsedFor	-
scotland	/r/UsedFor	-
mexican	/r/UsedFor	-
paraguayan	/r/UsedFor	-
brazil	/r/UsedFor	-
african	/r/UsedFor	-
eritrean	/r/UsedFor	-
sierra leonean	/r/UsedFor	-
africa	/r/UsedFor	-
jordan	/r/UsedFor	-
indonesia	/r/UsedFor	-
vietnam	/r/UsedFor	-
pakistan	/r/UsedFor	-
german	/r/UsedFor	-
romania	/r/UsedFor	-
brazilian	/r/UsedFor	-
ecuadorian	/r/UsedFor	-
mexico	/r/UsedFor	-
puerto rico	/r/UsedFor	-
kenyan	/r/UsedFor	-
liberian	/r/UsedFor	-
cameroonian	/r/UsedFor	-
african americans	/r/UsedFor	-
kenya	/r/UsedFor	-
liberia	/r/UsedFor	-
sierra leon	/r/UsedFor	-
qatari	/r/UsedFor	-
syrian	/r/UsedFor	-
arab	/r/UsedFor	-
saudi arabia	/r/UsedFor	-
lebanon	/r/UsedFor	-
indonesian	/r/UsedFor	-
french	/r/UsedFor	-
norwegian	/r/UsedFor	-
south africa	/r/UsedFor	-
jordanian	/r/UsedFor	-
korea	/r/UsedFor	-
singapore	/r/UsedFor	-
romanian	/r/UsedFor	-
crimean	/r/UsedFor	-
native american	/r/UsedFor	-
germany	/r/UsedFor	-
ireland	/r/UsedFor	-
ecuador	/r/UsedFor	-
morocco	/r/UsedFor	-
omani	/r/UsedFor	-
iranian	/r/UsedFor	-
iraqi	/r/UsedFor	-
qatar	/r/UsedFor	-
turkey	/r/UsedFor	-
vietnamese	/r/UsedFor	-
nepali	/r/UsedFor	-
laos	/r/UsedFor	-
bangladesh	/r/UsedFor	-
british	/r/UsedFor	-
polish	/r/UsedFor	-
greek	/r/UsedFor	-
scottish	/r/UsedFor	-
bolivian	/r/UsedFor	-
guatemala	/r/UsedFor	-
ghana	/r/UsedFor	-
cameroon	/r/UsedFor	-
japanese	/r/UsedFor	-
taiwanese	/r/UsedFor	-
bengali	/r/UsedFor	-
nepal	/r/UsedFor	-
albanian	/r/UsedFor	-
albania	/r/UsedFor	-
columbian	/r/UsedFor	-
peruvian	/r/UsedFor	-
argentian	/r/UsedFor	-
spain	/r/UsedFor	-
paraguay	/r/UsedFor	-
ethiopian	/r/UsedFor	-
egyptian	/r/UsedFor	-
persian people	/r/UsedFor	-
sweden	/r/UsedFor	-
crimea	/r/UsedFor	-
portuguese	/r/UsedFor	-
argentina	/r/UsedFor	-
chile	/r/UsedFor	-
cape verdean	/r/UsedFor	-
turkish	/r/UsedFor	-
yemeni	/r/UsedFor	-
taiwan	/r/UsedFor	-
austrian	/r/UsedFor	-
white people	/r/UsedFor	-
finland	/r/UsedFor	-
australia	/r/UsedFor	-
south african	/r/UsedFor	-
eriteria	/r/UsedFor	-
egypt	/r/UsedFor	-
korean	/r/UsedFor	-
